job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills
Cientista de Dados,Sênior,,company_022,"Atlanta, GA",15 days ago,"Charlotte, NC, US",Tecnologia,Pública,"103,010",€128.13B,"€96,815","['pytorch', 'r', 'python', 'sql', 'machine learning', 'keras', 'deep learning', 'tensorflow']"
Cientista de Dados,Pleno,,company_027,Greater Vancouver Metropolitan Area,6 days ago,"Vancouver, BC, CA",Educação,,240,Education,"€62,697 - €89,293","['java', 'git', 'python']"
Cientista de Dados,Sênior,Remoto,company_029,"Minneapolis, MN . Fully Remote",8 days ago,"Golden Valley, MN, US",Manufatura,Pública,"21,030",€43.18B,"€99,464 - €165,954","['sql', 'machine learning', 'python']"
Cientista de Dados,Sênior,Presencial,company_031,"Titusville, NJ . Titusville, New Jersey, United States",19 days ago,"New Brunswick, NJ, US",Saúde,Pública,"128,890",€413.02B,"€112,343 - €117,823","['sql', 'machine learning', 'r', 'python']"
Cientista de Dados,Sênior,Presencial,company_034,"Arlington, VA",a month ago,"Baltimore, MD, US",Tecnologia,Privada,45,Private,"€127,867 - €150,700","['pandas', 'powerbi', 'python', 'java', 'sql', 'machine learning', 'tableau']"
Cientista de Dados,Sênior,Remoto,company_037,Fully Remote,14 days ago,"San Francisco, CA, US",Finanças,Privada,300,Private,"€134,266",[]
Cientista de Dados,Líder,,company_038,"Bengaluru, Karnataka, India",6 days ago,"Kista, SE",Tecnologia,Pública,"132,000",€17.41B,"€52,746","['spark', 'aws', 'r', 'python', 'machine learning', 'gcp', 'deep learning', 'hadoop', 'azure']"
Cientista de Dados,Líder,Presencial,company_039,"Charlotte, NC . On-site",8 days ago,"San Francisco, CA, US",Finanças,Pública,"257,150",€163.38B,"€126,956 - €198,196","['aws', 'r', 'python', 'sql', 'machine learning', 'azure', 'tableau']"
Cientista de Dados,Sênior,Remoto,company_040,Fully Remote,13 days ago,"San Francisco, CA, US",Educação,Privada,130,€1.29B,"€185,412 - €228,338",[]
Engenheiro de Machine Learning,Júnior,,company_041,"Basel, Basel, Switzerland",19 days ago,"BS, CH",Saúde,Pública,"93,580",€247.18B,"€80,123","['pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']"
Cientista de Dados,Sênior,Presencial,company_043,"Toronto, Ontario, Canada . On-site",8 days ago,"Toronto, ON, CA",Finanças,Pública,"44,010",Public,"€72,611","['pytorch', 'spark', 'git', 'r', 'python', 'sql', 'machine learning', 'tensorflow']"
Cientista de Dados,Sênior,Presencial,company_044,"Findlay, OH . Denver, CO . San Antonio, TX",8 days ago,"Findlay, OH, US",Energia,Pública,"11,610",€51.40B,"€95,265 - €164,221","['pytorch', 'scikit-learn', 'python', 'machine learning', 'deep learning', 'tensorflow']"
Cientista de Dados,Sênior,Presencial,company_045,"Toronto, Ontario, Canada",6 days ago,"Toronto, ON, CA",Tecnologia,Privada,300,Private,"€85,044","['airflow', 'spark', 'machine learning', 'python']"
Cientista de Dados,Sênior,,company_046,"San Francisco, CA",3 months ago,"San Francisco, CA, US",Tecnologia,Privada,100,€913.33M,"€146,141 - €210,074",[]
Cientista de Dados,Líder,,company_047,"Bengaluru, Karnataka, India",a month ago,"Bengaluru, KA, IN",Tecnologia,Pública,"222,070",€24.36B,"€10,049","['deep learning', 'machine learning']"
Cientista de Dados,,Remoto,company_048,"Remote, US . Fully Remote",3 months ago,"San Francisco, CA, US",Tecnologia,Privada,340,€1.49B,"€91,335 - €109,601",[]
Cientista de Dados,Sênior,,company_049,"Huntsville, AL . Merritt Island, FL . Seattle, WA",15 days ago,"Kent, WA, US",Tecnologia,Privada,"3,780",Private,"€125,171 - €175,240","['aws', 'git', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure']"
Cientista de Dados,Sênior,,company_050,"San Francisco, CA",8 days ago,"San Francisco, CA, US",Educação,Privada,807,€3.45B,"€150,707","['sql', 'machine learning', 'r', 'python']"
Cientista de Dados,Sênior,Presencial,company_051,"Laurel, MD",a month ago,"Laurel, MD, US",Tecnologia,,"8,010",Education,"€210,071",['python']
Engenheiro de Machine Learning,Sênior,,company_052,"Amsterdam, North Holland, Netherlands",a month ago,"San Francisco, CA, US",Tecnologia,Pública,"26,950",€53.20B,"€72,515","['sql', 'machine learning', 'python']"
Cientista de Dados,Líder,Presencial,company_054,"Richmond, VA . On-site",7 days ago,"Washington, DC, US",Tecnologia,Pública,"4,820",€29.92B,"€112,288","['machine learning', 'python']"
Cientista de Dados,Líder,Híbrido,company_057,"Seattle, WA . Hybrid",25 days ago,"Seattle, WA, US",Varejo,Pública,"157,200",Public,"€132,437","['r', 'python', 'sql', 'machine learning', 'tableau']"
Cientista de Dados,Sênior,Híbrido,company_061,"Manchester, England, United Kingdom . Hybrid",15 days ago,"Manchester, GB",Tecnologia,Pública,"1,320",Public,"€45,669 - €63,936","['spark', 'python', 'airflow', 'sql', 'machine learning']"
Cientista de Dados,Sênior,Presencial,company_054,"Richmond, VA . On-site",7 days ago,"Washington, DC, US",Tecnologia,Pública,"4,780",€30.07B,"€112,291","['machine learning', 'python']"
,Pleno,,company_064,"Barcelona, Catalonia, Spain",7 days ago,"Barcelona, CT, ES",Tecnologia,,900,Nonprofit,"€28,068","['git', 'r', 'python', 'linux', 'bash']"
Cientista de Dados,Sênior,Presencial,company_065,"Toronto, Ontario, Canada",3 days ago,"Cherry Hill, NJ, US",Tecnologia,Privada,"26,070",Private,"€83,298 - €124,946","['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'azure', 'tableau']"
